input,gt
"1: So easy, abc
",0
"B: Okay go mid
A: See a cs
B: Okay
A: I'm mid
C: Let me ceci
A: Go mid
C: Also roam dly
A: Go mid
C: Come
A: Or do some cool explosive damage
",0
"B: 谁需要游走英雄 组队
C: 谁需要游走英雄和法师 组队
D: -1 邀请
E: -1 游走神话荣誉
F: -1 三排荣誉
G: -1 经验神话荣誉 
H: -1 输出英雄
I: 邀请谁是-1
",0
,0
"B:哈哈哈  
C:我高兴
D:52533
E:哈哈哈
F:哈哈哈
G:1/哭得更厉害吧
H:哈哈哈  
I:1/对不起,网络不好
J:哈哈哈
K:1/延迟
L:1/哈哈哈
M:1/我和弗兰科去抢击
N:50794
",0
"B: Just ask your dad 
C: You don't need to win
D: The most important thing is freestyle
",0
"
B: 狗东西
   狗
   狗东西

C: 狗
   狗
   狗
   狗东西  

A: 狗

B: 狗东西
   狗
   狗东西
   狗东西
   狗东西

C: 狗
   狗东西

A: 傻逼玩意儿
   傻逼玩意儿

B: 狗东西
   狗东西

C: 狗东西
   狗

A: 傻逼玩意儿
   狗

B: 狗
   狗东西
   狗东西

C: 狗东西  
   狗
",0
,0
"B: 报告
C: 1/报告
A: 你在哪里,居然敢这么说
B: 你只会空话,从来不会做事
",0
"A: 不哭不哭  
A: 我没看你哭
A: 拉法拉取的那个女人
A: 女人果然是这样的
A: 但是,我的早安呢?
A: :c
B: 嘘嘘嘘
B: 嘘嘘嘘
A: zzz  
A: zzz
A: zzz
A: 哎,我要哭了
",0
"B: Me me me
C: Come here you bastard! 
A: Me me me, what now? 
B: Still a tank who doesn't know how to set 
",0
"B: 你的朋友y joy s5\n 
C: 数学那个co哈哈哈\n
A: 不用那么激动,克林特。我有蒙顿的手机号码。我会发给你看的。你会哭的。\n
B: 好的\n
C: 看起来克林特很激动\n
B: 好的,晚上你就明白了\n
A: 我们来玩吧
",0
,0
,0
"B: music
A: get emotional again bro
",0
"B: what what haha
C: don't be able to stun me haha
D: 1-7 Hahahahaha
E: Want 1 skin of Wanwan haha
",0
"B:摩斯科夫,你去死吧,和你爸爸在一起
C:裂开你妈的逼生出你这个孩子
D:摩斯科夫什么时候变成关键输出?
E:孩子?如果你妈妈当着我的面张开大腿,你就会有个新的弟弟,这才知道
F:可怜摩斯科夫的妈妈
G:我已经浪费了敌人的大招
H:看起来投掷者阿蒙像个小丑
I:希尔瓦娜要大招了
J:所有人没有大招
K: 50794
L:没有凤凰的大招
",0
,0
"B: 我是法师
A: 我是刺客
B: 好的
A:地图吧,Hanzo
A: 我刚上班所以先庆祝下用troll把
",0
"
B: 攻击性言论无助于改善游戏体验。我们应该集中精力打好比赛。

A: 我明白你的失望,但责骂队友不会带来正面结果。我们仍可以一起努力。

B: 你说的对,我感到沮丧时过于情绪化了。我们继续坚持下去,改善团队配合。

A: 没关系,这局我们表现不佳,但仍有机会反败为胜。让我们保持optimistic并相互鼓励。

B: 是的,不应该轻易放弃。我们会思考这局教训,下一局会做得更好。

A: 一语中的。我们会从这局失败中汲取经验,提升个人技术和团队协作。加油!
",0
"B: 看那个坦克  
C: 清洗和做作业。他在打野   
D: 1/坦克背包  
E: 哦,太糟糕了。我觉得不好  
",0
"B: Frey can fight Gloo
C: The problem is Bane came
D: Early in last game knocked this 
E: Serious about women's stuff bye
F: That's it hahahah
G: Loo
H: Hahahahhaa Bana
I: Last
J: Arrogant bye now haha
K: Go on he's just quiet
L: Sorry bro friend logged on 
M: Too early I entered hahaha
N: Lets go there didn't expect jungle so close hahahaha
O: Alright
",0
"B: No Translation
A: 真他妈的
B: 是啊 真他妈的
A: 真他妈的  
B: 莱斯莱面对我
A: 真他妈的
",0
,0
"B: 哈哈
C: 50794
B:笑死
D: 52533
A:戳一戳
",0
"No Translation

",0
"B: 真是个超棒的游戏啊
A: 哈哈
A: 可惜啦可惜啦
B: 真是个垃圾游戏
A: 好吧 好吧
B: 真烦人
",0
"A: 滚吧乌龟
",0
"B: 哈哈哈  
C: 别这样米亚,他想从乱斗中得到WR(胜利者排名)
",0
