Symptom,故障分类
"
想知道装一个呼吸门控要多少钱。
",备件/商务咨询
"
请告知如何将位于某城市某健康管理体检中心的设备移至某城市某医院。
",备件/商务咨询
"
客户询问了某设备升级的相关事宜,希望能增加一个床的进出功能。
",备件/商务咨询
"
报价需求,购买油箱一批。
",备件/商务咨询
"
客户要安装UPS,想询问UPS的具体型号。
",备件/商务咨询
"
踩踏板进坏掉床踩踏板坏掉
",备件/商务咨询
"
麻烦您说一下,您需要什么样的报价?
",备件/商务咨询
"
请求商务同事给我球馆的报价
",备件/商务咨询
"
某先生想咨询一下想要购买束腹带的问题
",备件/商务咨询
"
希望得到新大楼搬迁所需要支付的费用的相关说明
",备件/商务咨询
"
我要咨询设备的续保费问题。
",备件/商务咨询
"
我想问下移机要多少费用。
",备件/商务咨询
"
保险即将到期,想要查询一下延长保险的价格
",备件/商务咨询
"
购买了球管。
",备件/商务咨询
"
购买技术保修咨询价格。某先生 13281183452
",备件/商务咨询
"
某客户想要知道执行保养的价格。
",备件/商务咨询
"
客户告知我,这台后处理工作站要移机。
",备件/商务咨询
"
医院上级部门不给医院客户电话,想咨询家庭医生上门诊疗收费标准
",备件/商务咨询
"
我需要购买一个备件,备件号是51724103
",备件/商务咨询
"
操作隔室的价格
",备件/商务咨询
"
CT DR MR设备,要买几台设备的保修。
",备件/商务咨询
"
某先生想备一个球管
",备件/商务咨询
"
我对电容报价感兴趣。
",备件/商务咨询
"
您想咨询设备是否可以安装慧眼app,需要我们提供一下具体的安装方案,是这个意思吗?
",备件/商务咨询
"
扫描床仍无法移动,关机重启后出现E01错误
",床
"
不能移动扫描床
",床
"
床不能出入
",床
"
扫描突然中断了,仔细检查一下是不是由于床的升降或进床导致的
",床
"
总停床一做
",床
"
病人说话声音小听不清楚,下床时床发出吱吱响声。
",床
"
机床在机架里不能移动。
",床
"
移动不了床板
",床
"
某先生反应卧室用具提升下降功能失灵紧急等级:高
",床
"
动不能床。
",床
"
问题移动床的有
",床
"
进出床时会发出异响,有时床不能动
",床
"
床将不下降来了
",床
"
床上无法进入
",床
"
卡住的床,无法进出
",床
"
该款床无法实现预期的升降功能
",床
"
扫描仪在床上无法下降。
",床
"
可以进床,可以升床,但是不能降床
",床
"
当进出时,它会停止运行
",床
"
床的扫描被停止了
",床
"
由于控制面板故障,导致床下降后会自动回到原位,不能正常使用。
",床
"
扫描功能的床不能调节高度
",床
"
我房间的床进不去,L级紧急,我需要更换
",床
"
该款升降床操作不便。  
",床
"
升降功能异常的CT诊断床
",床
"
升降功能无法正常工作
",床
"
锁住了床。
",床
"
某客户表示,自己买的床使用至最低位置后就无法继续抬高或移位。
",床
"
部分硬件停止扫描,不能预热。驱动器电源被禁用
",扫描架
"
某先生感叹号,设备故障。重启后可短时间使用,后又现同问题。/优先级:高/硬件:故障无法运行
",扫描架
"
ct运行revolution程序报错
",扫描架
"
硬件扫描部分出现故障停止了
",扫描架
"
某先生反馈,显示器经常提示没有输入信号,机架也不能正常复位
",扫描架
"
空调不能正常工作了
",扫描架
"
不曝光扫描导致系统无法启动。
",扫描架
"
机架的显示屏不亮,控制面板上的灯也没有亮起。/紧急程度:高/机架/The display screen of the gantry is not lit and the lights on the control panel are also not turned on.
",扫描架
"
轮滑使用中的滑环异常。
",扫描架
"
预热期间,发出了一声极其巨大的爆响声。
",扫描架
"
机架不能断电是我们当前的首要任务。
",扫描架
"
未在扫描架上发现扫描硬件,紧急程度高。
",扫描架
"
进行螺旋扫描时设置不了角度
",扫描架
"
设备在扫描时偶发性中断,但是重启后就恢复正常
",扫描架
"
扫描架上的机架,面板一侧出现了故障,紧急程度高。
",扫描架
"
扫描时通信发生故障导致系统报错阻止了扫描
",扫描架
"
扫描硬件未发现,重启不改变这种情况
",扫描架
"
不能正常扫描
",扫描架
"
控制面板的一侧失去了功能
",扫描架
"
机架内部发出很大的噪声
",扫描架
"
机架不能升起来了
",扫描架
"
加热器与风扇都发生了故障。
",扫描架
"
断电后机架开不起来
",扫描架
"
无法将电脑连接到机器上
",扫描架
"
硬件发生了扫描失败。
",扫描架
"
使用时能听到一些不寻常的声音
",扫描架
"
主机一开机声音就响个不停。
",扫描架
"
老是重启机架
",扫描架
"
开机后硬件未找到,提示关机不能正常扫描
",扫描架
"
主机噪声大,同时机架也报错了。
",扫描架
"
机架失去了电力
",扫描架
"
不能启动机架
",扫描架
"
不能扫描电机故障
",扫描架
"
机架的变压器故障导致机架自动断电,紧急程度高。
",扫描架
"
起不来问题是机架
",扫描架
"
机架部署的网络状态异常
",扫描架
"
机器扫描功能出现故障时不让我扫描
",扫描架
"
在患者列表中点击选择患者,未看到患者名称
",扫描架
"
控制器的按钮无法控制机架
",扫描架
"
机器发出异响
",扫描架
"
复位机架的操作出现了故障。
",扫描架
"
硬件上有错误
",扫描问题
"
预热功能无法启动。
",扫描问题
"
头部扫描时没有获得图像
",扫描问题
"
扫描架无法链接,经常因为重置失败
",扫描问题
"
扫描时出现了中断的情况
",扫描问题
"
硬件扫描突然停止
",扫描问题
"
三维骨重建时出现伪影,紧急程度高。因扫描问题导致其他伪影。
",扫描问题
"
这台电脑断断续续死机了3次。
",扫描问题
"
图像无法被扫描仪扫描出来
",扫描问题
"
机架感叹号无法利用按复位键解决
",扫描问题
"
扫描不了,有一股古怪的气味
",扫描问题
"
扫描图表时不能拆分
",扫描问题
"
页面右下角使用时偶尔提示扫描重置失败错误。
",扫描问题
"
空气校准报错,并带来图像伪影问题
",扫描问题
"
扫描时会间歇性地停止
",扫描问题
"
可能需要更换球管,需要查阅后台信息
",扫描问题
"
开机过程中出现了一些问题
",扫描问题
"
图像定位出来后,扫描只能扫一层就停止工作,应该是硬件故障导致扫描部分中断,之后某客户致电表示机器已恢复正常,但仍想让工程师查看报错信息。
",扫描问题
"
扫描时有报错,不能正常扫描
",扫描问题
"
扫描动脉时硬件故障无法进行扫描。紧急程度高。
",扫描问题
"
扫描程序无法启动
",扫描问题
"
球管可能损坏了,导致无法扫描
",扫描问题
"
硬件的扫描功能停止了
",扫描问题
"
扫描仪硬件故障无法重启/紧急程度高/扫描问题:某扫描仪硬件不能重置
",扫描问题
"
早上7点半左右曝光有问题,机器重启后恢复正常了,跟昨天一样。
",扫描问题
"
快速空气校正后,腹部环形伪影仍在。
",扫描问题
"
心电图扫描结果异常,冠脉检查无法出图
",扫描问题
"
重置失败,因为开机时没有检测到扫描硬件
",扫描问题
"
扫描遇到故障
",扫描问题
"
硬件检测未发现问题。
",扫描问题
"
由于中断了扫描,所以图像质量很差
",扫描问题
"
扫描只显示了肺的总体数值,没有显示肺的详细情况
",扫描问题
"
无法联系操作盘,扫描卡顿,已无法扫描
",扫描问题
"
在进行头部和腹部扫描时,出现了环形伪影
",扫描问题
"
病人在扫描过程中突然中断,重启扫描仪加热功能失效
",扫描问题
"
扫描后床无法移动,提示继续扫描,点击后重复出现,无法完成整个扫描
",扫描问题
"
不能被扫描了机器
",扫描问题
"
相不出来定位
",扫描问题
"
硬件扫描部分停止,使得无法进行曝光操作。
",扫描问题
"
硬件故障导致无法扫描
",扫描问题
"
硬件匹配出现问题,无法进行扫描
",扫描问题
"
扫描无法自动进行
",扫描问题
"
扫描了定位像后,浏览器就报错了,之后扫描不了了
",扫描问题
"
屏幕上的机架上面有一个叉的符号
",扫描问题
"
硬件扫描部分停止了
",扫描问题
"
不能按重置按钮扫描,客户说要显示重置按钮,但不知道重置按钮在哪里
",扫描问题
"
扫描硬件已停止进行任何扫描
",扫描问题
"
fov设置过大的镜头会产生伪影。
",扫描问题
"
扫描功能在某硬件上停止了
",扫描问题
"
由于管球过热,需要等待100分钟才能继续使用设备,校准扫描功能出现故障无法正常工作
",扫描问题
"
头颅扫描中出现伪影。
",扫描问题
"
病人登记时不允许扫描。
",扫描问题
"
高压打火,扫描有问题
",扫描问题
"
相扫不能定位
",扫描问题
"
这台机器停机导致不能扫描
",扫描问题
"
硬件故障触发扫描不再进行
",扫描问题
"
由于硬件故障,扫描仪无法扫描出图像。
",扫描问题
"
屏幕上显示出了一圈一圈的像是虚影的东西
",扫描问题
"
扫描无法正常校准,紧急程度高,校准过程中出现无法完成的问题。
",扫描问题
"
扫描病人时屏幕报警且无法工作,重启后恢复,但是开机会蓝屏。
",扫描问题
"
扫描硬件未被发现
",扫描问题
"
当扫描仪对文件扫描到一半时,突然断开了连接。
",扫描问题
"
扫描过程频繁被中断
",扫描问题
"
硬件连接不能。
",扫描问题
"
硬件出了问题。
",扫描问题
"
二维码无法扫描
",扫描问题
"
硬件上出现了故障
",扫描问题
"
扫描仪上的准直器出现故障报错,使扫描过程无法正常开始,紧急程度高需尽快排查解决
",扫描问题
"
硬件扫描时出现问题,出保报错
",扫描问题
"
不能扫描,扫描问题紧急程度高
",扫描问题
"
定位项打不开,无法扫描
",扫描问题
"
无法用扫描仪扫描出图像。
",扫描问题
"
三维重建扫描不了,薄层序列也不能扫描
",扫描问题
"
设备突然停止了工作
",扫描问题
"
在头部CT检查中出现了伪影
",扫描问题
No <best> found,扫描问题
"
扫描仪的硬件部分在扫描时停止了工作。/紧急程度:高/扫描故障
",扫描问题
"
扫描需要删减内存
",扫描问题
"
增强扫描中出现大面积中断
",扫描问题
"
只扫定了位置,就不给扫描了
",扫描问题
"
预热的时候,硬件扫描器的扫描功能突然不工作了
",扫描问题
"
请求停止扫描。
",扫描问题
"
扫描有假影,紧急程度高,属于其他假影问题。
",扫描问题
"
硬件设备在使用过程中停止了工作。
",扫描问题
"
硬件不能扫描导致显示部分停止扫描/扫描问题/紧急程度高
",扫描问题
"
准直器某问题,定备件需要
",扫描问题
"
扫描无法完成,定位像无法显示
",扫描问题
"
只能完成定位向的扫描,不能进行普通扫描
",扫描问题
"
门控心电有的问题
",扫描问题
"
报错有,重启也行不
",扫描问题
"
硬件的扫描无法进行
",扫描问题
"
硬件的扫描模块停止了扫描
",扫描问题
"
扫描过程被中止
",扫描问题
"
准直器出故障了
",扫描问题
